sigx=0.2 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.501626 
 sigx=0.2 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.501626 
 sigx=0.2 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.511235 
 sigx=0.2 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.598944 
 sigx=0.2 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.744420 
 sigx=0.2 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.872658 
 sigx=0.2 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.959913 
 sigx=0.2 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.025570 
 sigx=0.2 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.069704 
 sigx=0.2 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.094705 
 sigx=0.2 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.098421 
 sigx=0.2 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.1, h_psnr=25.085038 
 sigx=0.2 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.15, h_psnr=25.051631 
 sigx=0.2 ,sigy=1.4, theta=0 h_m=0.0, v_m=0.15, h_psnr=25.003538 
 sigx=0.2 ,sigy=1.5, theta=0 h_m=0.0, v_m=0.2, h_psnr=24.941615 
 sigx=0.2 ,sigy=1.6, theta=0 h_m=0.0, v_m=0.25, h_psnr=24.871638 
 sigx=0.2 ,sigy=1.7, theta=0 h_m=0.05, v_m=0.3, h_psnr=24.792272 
 sigx=0.2 ,sigy=1.8, theta=0 h_m=0.55, v_m=1.0, h_psnr=24.716936 
 sigx=0.2 ,sigy=1.9, theta=0 h_m=0.6, v_m=1.0, h_psnr=24.665766 
 sigx=0.2 ,sigy=2.0, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.605407 
 sigx=0.3 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.507736 
 sigx=0.3 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.519294 
 sigx=0.3 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.606703 
 sigx=0.3 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.752160 
 sigx=0.3 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.880457 
 sigx=0.3 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.966485 
 sigx=0.3 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.032648 
 sigx=0.3 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.076054 
 sigx=0.3 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.100927 
 sigx=0.3 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.102608 
 sigx=0.3 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.1, h_psnr=25.090121 
 sigx=0.3 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.1, h_psnr=25.057479 
 sigx=0.3 ,sigy=1.4, theta=0 h_m=0.0, v_m=0.2, h_psnr=25.007545 
 sigx=0.3 ,sigy=1.5, theta=0 h_m=0.0, v_m=0.2, h_psnr=24.946864 
 sigx=0.3 ,sigy=1.6, theta=0 h_m=0.05, v_m=0.3, h_psnr=24.876478 
 sigx=0.3 ,sigy=1.7, theta=0 h_m=0.05, v_m=0.3, h_psnr=24.796853 
 sigx=0.3 ,sigy=1.8, theta=0 h_m=0.55, v_m=1.0, h_psnr=24.723121 
 sigx=0.3 ,sigy=1.9, theta=0 h_m=0.6, v_m=1.0, h_psnr=24.672500 
 sigx=0.3 ,sigy=2.0, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.611254 
 sigx=0.4 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.587908 
 sigx=0.4 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.597576 
 sigx=0.4 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.682490 
 sigx=0.4 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.826640 
 sigx=0.4 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.949216 
 sigx=0.4 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.034271 
 sigx=0.4 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.097269 
 sigx=0.4 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.138079 
 sigx=0.4 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.158601 
 sigx=0.4 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.156849 
 sigx=0.4 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.1, h_psnr=25.138925 
 sigx=0.4 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.15, h_psnr=25.102952 
 sigx=0.4 ,sigy=1.4, theta=0 h_m=0.05, v_m=0.15, h_psnr=25.051327 
 sigx=0.4 ,sigy=1.5, theta=0 h_m=0.05, v_m=0.2, h_psnr=24.989485 
 sigx=0.4 ,sigy=1.6, theta=0 h_m=0.05, v_m=0.25, h_psnr=24.915319 
 sigx=0.4 ,sigy=1.7, theta=0 h_m=0.1, v_m=0.3, h_psnr=24.833973 
 sigx=0.4 ,sigy=1.8, theta=0 h_m=0.6, v_m=1.0, h_psnr=24.786691 
 sigx=0.4 ,sigy=1.9, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.733761 
 sigx=0.4 ,sigy=2.0, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.673258 
 sigx=0.5 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.714398 
 sigx=0.5 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.722998 
 sigx=0.5 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.806213 
 sigx=0.5 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.944634 
 sigx=0.5 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.062520 
 sigx=0.5 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.142531 
 sigx=0.5 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.198389 
 sigx=0.5 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.233761 
 sigx=0.5 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.05, h_psnr=25.247415 
 sigx=0.5 ,sigy=1.1, theta=0 h_m=0.05, v_m=0.05, h_psnr=25.241098 
 sigx=0.5 ,sigy=1.2, theta=0 h_m=0.05, v_m=0.1, h_psnr=25.216317 
 sigx=0.5 ,sigy=1.3, theta=0 h_m=0.1, v_m=0.15, h_psnr=25.175106 
 sigx=0.5 ,sigy=1.4, theta=0 h_m=0.1, v_m=0.15, h_psnr=25.121873 
 sigx=0.5 ,sigy=1.5, theta=0 h_m=0.15, v_m=0.25, h_psnr=25.055774 
 sigx=0.5 ,sigy=1.6, theta=0 h_m=0.2, v_m=0.3, h_psnr=24.979102 
 sigx=0.5 ,sigy=1.7, theta=0 h_m=0.6, v_m=0.95, h_psnr=24.935687 
 sigx=0.5 ,sigy=1.8, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.895851 
 sigx=0.5 ,sigy=1.9, theta=0 h_m=0.65, v_m=1.0, h_psnr=24.842830 
 sigx=0.5 ,sigy=2.0, theta=0 h_m=0.7, v_m=1.0, h_psnr=24.782798 
 sigx=0.6 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.821112 
 sigx=0.6 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.829041 
 sigx=0.6 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=24.909734 
 sigx=0.6 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=25.042243 
