sigx=0.2 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.103720 
 sigx=0.2 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.119777 
 sigx=0.2 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.275788 
 sigx=0.2 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.543142 
 sigx=0.2 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.772406 
 sigx=0.2 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.946729 
 sigx=0.2 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.087052 
 sigx=0.2 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.195711 
 sigx=0.2 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.275644 
 sigx=0.2 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.333232 
 sigx=0.2 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.367351 
 sigx=0.2 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.381672 
 sigx=0.2 ,sigy=1.4, theta=0 h_m=0.0, v_m=0.05, h_psnr=23.379396 
 sigx=0.2 ,sigy=1.5, theta=0 h_m=0.0, v_m=0.05, h_psnr=23.365938 
 sigx=0.2 ,sigy=1.6, theta=0 h_m=0.0, v_m=0.15, h_psnr=23.343069 
 sigx=0.2 ,sigy=1.7, theta=0 h_m=0.65, v_m=1.0, h_psnr=23.316359 
 sigx=0.2 ,sigy=1.8, theta=0 h_m=0.65, v_m=1.0, h_psnr=23.299339 
 sigx=0.2 ,sigy=1.9, theta=0 h_m=0.65, v_m=1.0, h_psnr=23.275674 
 sigx=0.2 ,sigy=2.0, theta=0 h_m=0.7, v_m=1.0, h_psnr=23.250034 
 sigx=0.3 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.109666 
 sigx=0.3 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.125509 
